"Sample_Id","Classification","ARO_term","Counts","ARG_length","Percentage_Identity","Drug_Class","Resistance_Mechanism","AMR_Gene_Family","Percentage_Coverage","Normalized_counts","Family","Group"
"7600-SR-001","Staphylococcus epidermidis","msrA",106,1467,98.36,"macrolide antibiotic","antibiotic target protection","msr-type ABC-F protein",100,2364.16,"Staphylococcaceae","control"
"7600-SR-001","Staphylococcus epidermidis","norA",66,1164,100,"fluoroquinolone antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",100,1855.2,"Staphylococcaceae","control"
"7600-SR-001","Staphylococcus epidermidis","qacA",312,1545,99.81,"fluoroquinolone antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",100,6607.34,"Staphylococcaceae","control"
"7600-SR-001","Staphylococcus epidermidis","tet(K)",122,1380,100,"tetracycline antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",100,2892.55,"Staphylococcaceae","control"
"7600-SR-001","unclassified","APH(3')-IIIa",72,795,100,"aminoglycoside antibiotic","antibiotic inactivation","APH(3')",100,2963.23,"unclassified","control"
"7600-SR-001","unclassified","ErmC",111,735,99.59,"macrolide antibiotic","antibiotic target alteration","Erm 23S ribosomal RNA methyltransferase",100,4941.24,"unclassified","control"
"7600-SR-001","unclassified","Klebsiella pneumoniae KpnF",24,330,88.99,"macrolide antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",100,2379.56,"unclassified","control"
"7600-SR-001","unclassified","SAT-4",86,543,99.44,"nucleoside antibiotic","antibiotic inactivation","streptothricin acetyltransferase (SAT)",100,5182.02,"unclassified","control"
"7600-SR-001","unclassified","fosA5",41,381,86.44,"phosphonic acid antibiotic","antibiotic inactivation","fosfomycin thiol transferase",90.65,3520.94,"unclassified","control"
"7600-SR-001","unclassified","mcr-10.1",87,1620,99.81,"peptide antibiotic","antibiotic target alteration","MCR phosphoethanolamine transferase",100,1757.13,"unclassified","control"
"7600-SR-001","unclassified","mecI",45,372,100,"penam","antibiotic target replacement","methicillin resistant PBP2",100,3957.95,"unclassified","control"
"7600-SR-001","unclassified","ramA",35,348,95.69,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",93.55,3290.71,"unclassified","control"
"7600-SR-006","Acinetobacter baumannii","ADC-156",164,1152,100,"cephalosporin","antibiotic inactivation","ADC beta-lactamases pending classification for carbapenemase activity",100,830.22,"Moraxellaceae","control"
"7600-SR-006","Acinetobacter baumannii","Acinetobacter baumannii AmvA",128,1479,98.58,"macrolide antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",100,504.71,"Moraxellaceae","control"
"7600-SR-006","Acinetobacter baumannii","Acinetobacter baumannii parC conferring resistance to fluoroquinolones",302,2220,99.73,"fluoroquinolone antibiotic","antibiotic target alteration","fluoroquinolone resistant parC",100,793.33,"Moraxellaceae","control"
"7600-SR-006","Acinetobacter baumannii","LpsB",131,1101,99.18,"peptide antibiotic","reduced permeability to antibiotic","Intrinsic peptide antibiotic resistant Lps",100,693.88,"Moraxellaceae","control"
"7600-SR-006","Acinetobacter baumannii","OXA-120",62,825,100,"carbapenem","antibiotic inactivation","OXA beta-lactamase",100,438.27,"Moraxellaceae","control"
"7600-SR-006","Acinetobacter baumannii","abeM",165,1347,99.78,"fluoroquinolone antibiotic","antibiotic efflux","multidrug and toxic compound extrusion (MATE) transporter",100,714.36,"Moraxellaceae","control"
"7600-SR-006","Acinetobacter baumannii","abeS",36,330,99.08,"macrolide antibiotic","antibiotic efflux","small multidrug resistance (SMR) antibiotic efflux pump",100,636.19,"Moraxellaceae","control"
"7600-SR-006","Acinetobacter baumannii","adeA",111,1191,99.24,"glycylcycline","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,543.52,"Moraxellaceae","control"
"7600-SR-006","Acinetobacter baumannii","adeF",340,3180,99.72,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,623.52,"Moraxellaceae","control"
"7600-SR-006","Acinetobacter baumannii","adeG",121,1218,99.01,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",99.75,579.35,"Moraxellaceae","control"
"7600-SR-006","Acinetobacter baumannii","adeH",141,1449,99.59,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",99.79,567.48,"Moraxellaceae","control"
"7600-SR-006","Acinetobacter baumannii","adeI",194,1251,99.76,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,904.37,"Moraxellaceae","control"
"7600-SR-006","Acinetobacter baumannii","adeJ",432,3177,99.91,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,792.99,"Moraxellaceae","control"
"7600-SR-006","Acinetobacter baumannii","adeK",330,1455,99.79,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,1322.67,"Moraxellaceae","control"
"7600-SR-006","Acinetobacter baumannii","adeN",83,654,98.16,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,740.12,"Moraxellaceae","control"
"7600-SR-006","Acinetobacter baumannii","adeR",74,744,100,"glycylcycline","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,580.04,"Moraxellaceae","control"
"7600-SR-006","Acinetobacter baumannii","adeS",80,1086,96.95,"glycylcycline","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,429.6,"Moraxellaceae","control"
"7600-SR-006","Enterobacter himalayensis","CRP",2858,633,99.05,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,26330.49,"Enterobacteriaceae","control"
"7600-SR-006","Enterobacter himalayensis","Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline",779,435,90.97,"fluoroquinolone antibiotic","antibiotic target alteration","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,10443.56,"Enterobacteriaceae","control"
"7600-SR-006","Enterobacter himalayensis","Escherichia coli UhpT with mutation conferring resistance to fosfomycin",6353,1392,94.17,"phosphonic acid antibiotic","antibiotic target alteration","antibiotic-resistant UhpT",100,26615.83,"Enterobacteriaceae","control"
"7600-SR-006","Enterobacter himalayensis","Escherichia coli mdfA",3030,1233,87.47,"tetracycline antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",100,14331.11,"Enterobacteriaceae","control"
"7600-SR-006","Enterobacter himalayensis","FosA2",677,426,95.04,"phosphonic acid antibiotic","antibiotic inactivation","fosfomycin thiol transferase",100,9267.86,"Enterobacteriaceae","control"
"7600-SR-006","Enterobacter himalayensis","Klebsiella pneumoniae KpnF",315,330,88.07,"macrolide antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",100,5566.69,"Enterobacteriaceae","control"
"7600-SR-006","Enterobacter himalayensis","acrB",13380,3147,92.85,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",99.9,24794.75,"Enterobacteriaceae","control"
"7600-SR-006","Enterobacter himalayensis","acrD",11360,3114,91.8,"aminoglycoside antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,21274.54,"Enterobacteriaceae","control"
"7600-SR-006","Enterobacter himalayensis","bacA",2412,822,95.24,"peptide antibiotic","antibiotic target alteration","undecaprenyl pyrophosphate related proteins",100,17112.2,"Enterobacteriaceae","control"
"7600-SR-006","Enterobacter himalayensis","baeR",2528,723,95,"aminoglycoside antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,20391.03,"Enterobacteriaceae","control"
"7600-SR-006","Enterobacter himalayensis","emrR",1535,531,94.86,"fluoroquinolone antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",100,16858.32,"Enterobacteriaceae","control"
"7600-SR-006","Enterobacter himalayensis","marA",562,381,94.35,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",99.21,8602.24,"Enterobacteriaceae","control"
"7600-SR-006","Enterobacter himalayensis","mdtB",10526,3123,90.1,"aminocoumarin antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,19655.85,"Enterobacteriaceae","control"
"7600-SR-006","Enterobacter himalayensis","mdtC",12628,3078,92.1,"aminocoumarin antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,23925.79,"Enterobacteriaceae","control"
"7600-SR-006","Enterobacter himalayensis","msbA",6107,1749,94.85,"nitroimidazole antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",100,20362.85,"Enterobacteriaceae","control"
"7600-SR-006","Enterobacter himalayensis","oqxA",4475,1176,91.82,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,22191.47,"Enterobacteriaceae","control"
"7600-SR-006","Enterobacter himalayensis","oqxB",13295,3153,96.48,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,24590.35,"Enterobacteriaceae","control"
"7600-SR-006","Enterobacter himalayensis","ramA",499,342,96.46,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",91.13,8508.93,"Enterobacteriaceae","control"
"7600-SR-006","Klebsiella pneumoniae","ArnT",6774,1656,99.09,"peptide antibiotic","antibiotic target alteration","pmr phosphoethanolamine transferase",100,23855.32,"Enterobacteriaceae","control"
"7600-SR-006","Klebsiella pneumoniae","CRP",3072,633,99.05,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,28302.05,"Enterobacteriaceae","control"
"7600-SR-006","Klebsiella pneumoniae","Escherichia coli UhpT with mutation conferring resistance to fosfomycin",7471,1392,95.03,"phosphonic acid antibiotic","antibiotic target alteration","antibiotic-resistant UhpT",100,31299.68,"Enterobacteriaceae","control"
"7600-SR-006","Klebsiella pneumoniae","Escherichia coli mdfA",4818,1233,85.61,"tetracycline antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",100,22787.89,"Enterobacteriaceae","control"
"7600-SR-006","Klebsiella pneumoniae","FosA6",1756,420,98.56,"phosphonic acid antibiotic","antibiotic inactivation","fosfomycin thiol transferase",100,24382.35,"Enterobacteriaceae","control"
"7600-SR-006","Klebsiella pneumoniae","Klebsiella pneumoniae KpnE",1097,363,99.17,"macrolide antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",100,17623.83,"Enterobacteriaceae","control"
"7600-SR-006","Klebsiella pneumoniae","Klebsiella pneumoniae KpnF",1228,330,99.08,"macrolide antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",100,21701.25,"Enterobacteriaceae","control"
"7600-SR-006","Klebsiella pneumoniae","Klebsiella pneumoniae KpnG",5165,1173,99.74,"macrolide antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",100,25678.68,"Enterobacteriaceae","control"
"7600-SR-006","Klebsiella pneumoniae","Klebsiella pneumoniae KpnH",7091,1539,94.02,"macrolide antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",100,26870.1,"Enterobacteriaceae","control"
"7600-SR-006","Klebsiella pneumoniae","LptD",8821,2349,100,"carbapenem","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",100,21899.55,"Enterobacteriaceae","control"
"7600-SR-006","Klebsiella pneumoniae","OmpA",4023,1071,99.72,"peptide antibiotic","reduced permeability to antibiotic","General Bacterial Porin with reduced permeability to peptide antibiotics",95.19,21905.89,"Enterobacteriaceae","control"
"7600-SR-006","Klebsiella pneumoniae","acrB",15279,3147,91.52,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",99.9,28313.83,"Enterobacteriaceae","control"
"7600-SR-006","Klebsiella pneumoniae","acrD",15478,3114,91.03,"aminoglycoside antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,28986.56,"Enterobacteriaceae","control"
"7600-SR-006","Klebsiella pneumoniae","baeR",3146,723,91.67,"aminoglycoside antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,25375.86,"Enterobacteriaceae","control"
"7600-SR-006","Klebsiella pneumoniae","emrR",2154,531,92.57,"fluoroquinolone antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",100,23656.56,"Enterobacteriaceae","control"
"7600-SR-006","Klebsiella pneumoniae","eptB",7111,1674,99.46,"peptide antibiotic","antibiotic target alteration","pmr phosphoethanolamine transferase",97.04,24772.83,"Enterobacteriaceae","control"
"7600-SR-006","Klebsiella pneumoniae","marA",1163,375,92.74,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",97.64,18086.26,"Enterobacteriaceae","control"
"7600-SR-006","Klebsiella pneumoniae","mdtB",13709,3123,90.1,"aminocoumarin antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,25599.66,"Enterobacteriaceae","control"
"7600-SR-006","Klebsiella pneumoniae","mdtC",13212,3078,91.51,"aminocoumarin antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,25032.28,"Enterobacteriaceae","control"
"7600-SR-006","Klebsiella pneumoniae","msbA",8205,1749,92.78,"nitroimidazole antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",100,27358.3,"Enterobacteriaceae","control"
"7600-SR-006","Klebsiella pneumoniae","oqxB",13918,3153,99.9,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,25742.65,"Enterobacteriaceae","control"
"7600-SR-006","Klebsiella pneumoniae","rsmA",1033,186,85.25,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,32388.27,"Enterobacteriaceae","control"
"7600-SR-006","Pseudomonas aeruginosa","APH(3')-IIb",43,807,98.88,"aminoglycoside antibiotic","antibiotic inactivation","APH(3')",100,310.74,"Pseudomonadaceae","control"
"7600-SR-006","Pseudomonas aeruginosa","FosA",35,408,99.26,"phosphonic acid antibiotic","antibiotic inactivation","fosfomycin thiol transferase",100,500.27,"Pseudomonadaceae","control"
"7600-SR-006","Pseudomonas aeruginosa","MexB",8469,3141,99.62,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,15724.06,"Pseudomonadaceae","control"
"7600-SR-006","Pseudomonas aeruginosa","MexD",567,3132,95.52,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,1055.75,"Pseudomonadaceae","control"
"7600-SR-006","Pseudomonas aeruginosa","MexE",61,1170,99.23,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",94.2,304.05,"Pseudomonadaceae","control"
"7600-SR-006","Pseudomonas aeruginosa","MexG",37,447,100,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,482.72,"Pseudomonadaceae","control"
"7600-SR-006","Pseudomonas aeruginosa","MexH",396,1113,99.73,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,2074.92,"Pseudomonadaceae","control"
"7600-SR-006","Pseudomonas aeruginosa","MexI",993,3090,99.9,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,1874.09,"Pseudomonadaceae","control"
"7600-SR-006","Pseudomonas aeruginosa","MexR",19,444,99.32,"macrolide antibiotic","antibiotic target alteration","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,249.56,"Pseudomonadaceae","control"
"7600-SR-006","Pseudomonas aeruginosa","MexT",235,915,99.63,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",87.61,1497.78,"Pseudomonadaceae","control"
"7600-SR-006","Pseudomonas aeruginosa","MexV",63,1131,99.2,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,324.85,"Pseudomonadaceae","control"
"7600-SR-006","Pseudomonas aeruginosa","MuxA",327,1281,99.53,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,1488.67,"Pseudomonadaceae","control"
"7600-SR-006","Pseudomonas aeruginosa","OXA-488",94,789,100,"carbapenem","antibiotic inactivation","OXA beta-lactamase",100,694.79,"Pseudomonadaceae","control"
"7600-SR-006","Pseudomonas aeruginosa","OpmB",258,1317,100,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",87.95,1142.44,"Pseudomonadaceae","control"
"7600-SR-006","Pseudomonas aeruginosa","OpmH",145,1449,100,"disinfecting agents and antiseptics","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,583.58,"Pseudomonadaceae","control"
"7600-SR-006","Pseudomonas aeruginosa","OprN",61,1419,99.79,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,250.7,"Pseudomonadaceae","control"
"7600-SR-006","Pseudomonas aeruginosa","PDC-35",228,1194,100,"monobactam","antibiotic inactivation","PDC beta-lactamase",100,1113.6,"Pseudomonadaceae","control"
"7600-SR-006","Pseudomonas aeruginosa","ParR",37,708,99.15,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,304.77,"Pseudomonadaceae","control"
"7600-SR-006","Pseudomonas aeruginosa","ParS",72,1287,99.77,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,326.25,"Pseudomonadaceae","control"
"7600-SR-006","Pseudomonas aeruginosa","Pseudomonas aeruginosa CpxR",68,678,100,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,584.9,"Pseudomonadaceae","control"
"7600-SR-006","Pseudomonas aeruginosa","Pseudomonas aeruginosa catB7",146,615,98.04,"phenicol antibiotic","antibiotic inactivation","chloramphenicol acetyltransferase (CAT)",96.23,1384.45,"Pseudomonadaceae","control"
"7600-SR-006","Pseudomonas aeruginosa","Pseudomonas aeruginosa soxR",209,471,100,"fluoroquinolone antibiotic","antibiotic target alteration","ATP-binding cassette (ABC) antibiotic efflux pump",100,2587.77,"Pseudomonadaceae","control"
"7600-SR-006","Pseudomonas aeruginosa","TriA",268,1104,98.09,"disinfecting agents and antiseptics","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",95.82,1415.68,"Pseudomonadaceae","control"
"7600-SR-006","Pseudomonas aeruginosa","TriB",233,1071,100,"disinfecting agents and antiseptics","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,1268.72,"Pseudomonadaceae","control"
"7600-SR-006","Pseudomonas aeruginosa","Type B NfxB",39,564,100,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,403.26,"Pseudomonadaceae","control"
"7600-SR-006","Pseudomonas aeruginosa","YajC",286,339,100,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,4920.02,"Pseudomonadaceae","control"
"7600-SR-006","Pseudomonas aeruginosa","basR",399,666,99.55,"peptide antibiotic","antibiotic target alteration","pmr phosphoethanolamine transferase",100,3493.81,"Pseudomonadaceae","control"
"7600-SR-006","Pseudomonas aeruginosa","bcr-1",442,1209,99.75,"bicyclomycin-like antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",100,2132.04,"Pseudomonadaceae","control"
"7600-SR-006","Pseudomonas aeruginosa","cprR",66,672,100,"peptide antibiotic","antibiotic target alteration","pmr phosphoethanolamine transferase",100,572.76,"Pseudomonadaceae","control"
"7600-SR-006","Pseudomonas aeruginosa","cprS",800,1296,99.54,"peptide antibiotic","antibiotic target alteration","pmr phosphoethanolamine transferase",100,3599.86,"Pseudomonadaceae","control"
